评论者,评论内容,评论日期
可惜我才十七岁,相遇未必是好事,09:01
唯爱LoVELzr,我抽烟不过肺，就好像你喜欢我不动心一样,09:01
mcqueen713,加油 走出来是对自己最大的尊重 你很棒陌生人 会有更好的,09:01
全世界不懂都没关系的呢,还是种一盆花吧——你给它浇水，它给你开花！,09:00
侧写师1039,草木绿 世上最单纯的颜色,09:00
遗忘的旧时光丶,原来长得好看的也会有被绿的风险,09:00
hypocrite彡,若不是我突然闯进你生活，你怎会把死守的寂寞放任了 王梦田~,08:59
念红药_,我怕谈恋爱会有失去你的一天 所以只敢和你做朋友 可是我忘了朋友也会有渐行渐远的一天,08:59
举头爱明月,要想生活过得去，头上必需带点绿。,08:59
万宝路天下第一,他喜欢那个女的。他也喜欢你。他只是渣。,08:58
yuhnkouhbki,若不是你闯进我的生活,08:58
喜我成疾l,打卡,08:58
蔡呀1809,这段日子熬过就好了，没事的，也别重蹈覆辙,08:58
陳兴月,在一起了四十二天今天分手第四天我很爱很爱她可是她放弃了我希望我可以快长大,08:57
嘉怡儿2,别再躲了，再躲就不像普通朋友了,08:57
达波波,绿色是一个很纯洁的颜色，很干净又纯粹，只是爱情弄脏了它,08:56
RoSe所谓罪恶,也许这个世界也曾被改变过呢,08:56
陳兴月,她和我说分享过这段话她说以后也要带我见姥姥可是她不要我了,08:56
西心c,我的心就一颗，你尽管伤,08:54
陳兴月,我以后也不要淋雨了 要让她在我心里被我藏的好好的,08:54
IF60,听着这首歌，想起我们的过去，你比我大5岁，我喜欢叫你大叔，在我还没有对你沉入太深的时候你说怕耽误我，要跟我分手，我同意了，几个月后，你又来找我和好，我同意了，后来被我发现你在跟别人谈恋爱，我气的发抖去问你，你告诉我你只爱她，那我算什么，现在还在浑身发抖的打出这段文字,08:53
蹄儿怎么这么可爱,我真的不想让任何人再闯入我的生活了,08:52
账号已注销0506,你会有更好的 加油 请别丧,08:52
胖墩龙不飞,下辈子，换你来爱我，就像我爱你那样,08:51
侧翻笔盒,有故事的人,08:51
godbless1227,有些人很奇怪，不爱你还不放过你。有些人更奇怪，爱你还放过你。,08:50
_少女英雄夢,前天挑明 昨天就遇见这首歌 今天单循,08:50
绪千枫,这歌跟我现在又有什么区别,08:50
自来卷你慢慢长,慕了,08:49
孤独和我重归于好i,想的不可的 你耐人生何,08:49
陽燦強,这歌该叫(呸！渣男)[多多大笑],08:48
梨花白丶丶,爱情脏了他,08:48
eeeeeeeeeeeeeeeeeeeeeeeeeea,绿色代表着生机 现在人都把当成绿帽子 完全了解不了这个世界,08:48
倔强的土豆621,喜欢你很久了，突然这么多人喜欢你，我既开心又难过。😞,08:47
天呐天i,爱着一个没有灵魂的人世界都是黑色💔,08:47
愚迟丶,播放量第一了！nice,08:47
